编号,名称,楼层,起始排,结束排,检票口编号,排序,状态,备注
1,1区,一层,1,30,62,1,启用,
2,2区,一层,1,30,62,2,启用,
3,3区,一层,1,30,62,3,启用,
4,4区,一层,1,30,62,4,启用,
5,5区,一层,1,30,62,5,启用,
6,6区,一层,1,30,62,6,启用,
7,7区,一层,1,30,62,7,启用,
8,8区,一层,1,30,52,8,启用,
9,9区,一层,1,30,52,9,启用,
10,10区,一层,1,30,52,10,启用,
11,11区,一层,1,30,52,11,启用,
12,12区,一层,1,30,52,12,启用,
13,13区,一层,1,30,52,13,启用,
14,14区,一层,1,30,52,14,启用,
15,15区,一层,1,30,52,15,启用,
16,16区,一层,1,30,52,16,启用,
17,17区,一层,1,30,51,17,启用,
18,18区,一层,1,30,51,18,启用,
19,19区,一层,1,30,51,19,启用,
20,20区,一层,1,30,51,20,启用,
21,21区,一层,1,30,51,21,启用,
22,22区,一层,1,30,61,22,启用,
23,23区,一层,1,30,61,23,启用,
24,24区,一层,1,30,61,24,启用,
25,25区,一层,1,30,61,25,启用,
26,26区,一层,1,30,61,26,启用,
27,27区,一层,1,30,61,27,启用,
28,28区,一层,1,30,61,28,启用,
29,29区,一层,1,30,61,29,启用,
30,30区,一层,1,30,61,30,启用,
31,31区,一层,1,30,61,31,启用,
32,32区,一层,1,30,62,32,启用,
33,33区,一层,1,30,62,33,启用,
34,34区,一层,1,30,62,34,启用,
35,35区,一层,1,30,62,35,启用,
36,36区,一层,1,30,52,36,启用,
37,37区,一层,1,30,52,37,启用,
38,38区,一层,1,30,52,38,启用,
39,39区,一层,1,30,51,39,启用,
40,40区,一层,1,30,51,40,启用,
41,41区,一层,1,30,51,41,启用,
42,42区,一层,1,30,51,42,启用,
